actor_name,object_id,translated_event_type,date_time_in_timezone
Facebook,6014445675698,Account billed,01/08/2015 at 12:38am
Facebook,6014445675698,Account billed,01/08/2015 at 12:38am
Facebook,6019195707298,Custom audience created,01/08/2015 at 12:20am
Facebook,6019195707498,Custom audience created,01/08/2015 at 12:20am
Facebook,6014445675698,Account billed,01/07/2015 at 12:32am
Facebook,6014445675698,Account billed,01/07/2015 at 12:32am
Facebook,6014445675698,Account billed,01/07/2015 at 12:32am
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am
Facebook,6019120332098,Custom audience created,01/05/2015 at 9:45pm
Facebook,6019120332298,Custom audience created,01/05/2015 at 9:45pm
Facebook,6019120332498,Custom audience created,01/05/2015 at 9:45pm
Facebook,6019120332698,Custom audience created,01/05/2015 at 9:45pm
Facebook,6019120332898,Custom audience created,01/05/2015 at 9:45pm
Facebook,6019120333098,Custom audience created,01/05/2015 at 9:45pm
Facebook,6014445675698,Account billed,01/04/2015 at 12:33am
Facebook,6014445675698,Account billed,01/04/2015 at 12:33am
Facebook,6014445675698,Account billed,01/03/2015 at 12:39am
Facebook,6014445675698,Account billed,01/03/2015 at 12:39am
Facebook,6014445675698,Account billed,01/02/2015 at 12:31am
Facebook,6014445675698,Account billed,01/02/2015 at 12:31am
