actor_name,object_id,translated_event_type,date_time_in_timezone,placeholder
Facebook,6014445675698,Account billed,01/09/2015 at 12:36am,1431482023792694
Facebook,6014445675698,Account billed,01/09/2015 at 12:36am,1431482023792694
Facebook,6014445675698,Account billed,01/08/2015 at 12:38am,1431482023792694
Facebook,6014445675698,Account billed,01/08/2015 at 12:38am,1431482023792694
Facebook,6019195707298,Custom audience created,01/08/2015 at 12:20am,1431482023792694
Facebook,6019195707498,Custom audience created,01/08/2015 at 12:20am,1431482023792694
Facebook,6014445675698,Account billed,01/07/2015 at 12:32am,1431482023792694
Facebook,6014445675698,Account billed,01/07/2015 at 12:32am,1431482023792694
Facebook,6014445675698,Account billed,01/07/2015 at 12:32am,1431482023792694
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am,1431482023792694
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am,1431482023792694
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am,1431482023792694
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am,1431482023792694
Facebook,6014445675698,Account billed,01/06/2015 at 12:36am,1431482023792694
Facebook,6019120332098,Custom audience created,01/05/2015 at 9:45pm,1431482023792694
Facebook,6019120332298,Custom audience created,01/05/2015 at 9:45pm,1431482023792694
Facebook,6019120332498,Custom audience created,01/05/2015 at 9:45pm,1431482023792694
Facebook,6019120332698,Custom audience created,01/05/2015 at 9:45pm,1431482023792694
Facebook,6019120332898,Custom audience created,01/05/2015 at 9:45pm,1431482023792694
Facebook,6019120333098,Custom audience created,01/05/2015 at 9:45pm,1431482023792694
Facebook,6014445675698,Account billed,01/04/2015 at 12:33am,1431482023792694
Facebook,6014445675698,Account billed,01/04/2015 at 12:33am,1431482023792694
Facebook,6014445675698,Account billed,01/03/2015 at 12:39am,1431482023792694
Facebook,6014445675698,Account billed,01/03/2015 at 12:39am,1431482023792694
Facebook,6019936975795,Account billed,01/08/2015 at 6:36pm,1431482030459360
Facebook,6024210875395,Ad approved,01/08/2015 at 4:36pm,1431482030459360
Facebook,6024210875395,Ad status updated,01/08/2015 at 4:36pm,1431482030459360
Chelsea Schild,6024210875395,Ad updated,01/08/2015 at 4:34pm,1431482030459360
Facebook,6024211171395,Ad approved,01/08/2015 at 1:30pm,1431482030459360
Facebook,6024211171395,Ad status updated,01/08/2015 at 1:30pm,1431482030459360
Hayley May,6024211171395,Ad created,01/08/2015 at 1:29pm,1431482030459360
Hayley May,6024210894795,Ad status updated,01/08/2015 at 1:27pm,1431482030459360
Hayley May,6024211129195,Ad set name updated,01/08/2015 at 1:27pm,1431482030459360
Hayley May,6024211129195,Ad set targeting updated,01/08/2015 at 1:25pm,1431482030459360
Hayley May,6024211129195,Ad set bidding updated,01/08/2015 at 1:25pm,1431482030459360
Hayley May,6024211129195,Ad set created,01/08/2015 at 1:25pm,1431482030459360
Facebook,6024210894795,Ad approved,01/08/2015 at 1:21pm,1431482030459360
Facebook,6024210894795,Ad status updated,01/08/2015 at 1:21pm,1431482030459360
Facebook,6024210875395,Ad approved,01/08/2015 at 1:16pm,1431482030459360
Facebook,6024210875395,Ad status updated,01/08/2015 at 1:16pm,1431482030459360
Hayley May,6024210894795,Ad created,01/08/2015 at 1:15pm,1431482030459360
Hayley May,6024210875395,Ad created,01/08/2015 at 1:14pm,1431482030459360
Hayley May,6024210769795,Ad set name updated,01/08/2015 at 1:09pm,1431482030459360
Hayley May,6024210769795,Ad set targeting updated,01/08/2015 at 1:07pm,1431482030459360
Hayley May,6024210769795,Ad set bidding updated,01/08/2015 at 1:07pm,1431482030459360
Hayley May,6024210769795,Ad set created,01/08/2015 at 1:07pm,1431482030459360
Facebook,6019936975795,Account billed,01/07/2015 at 6:39pm,1431482030459360
Facebook,6019936975795,Account billed,01/06/2015 at 6:33pm,1431482030459360
Facebook,6019936975795,Account billed,01/05/2015 at 6:30pm,1431482030459360
Facebook,6019936975795,Account billed,01/04/2015 at 6:35pm,1431482030459360
Facebook,6024074351595,Custom audience created,01/04/2015 at 12:47am,1431482030459360
Facebook,6024074351795,Custom audience created,01/04/2015 at 12:47am,1431482030459360
